id,cnn_score,energy
990296.000,0.043,2502.069
798720.000,0.031,1434.018
158421.000,0.056,1407.903
831924.000,0.052,2147.825
927338.000,0.025,2103.022
608623.000,0.030,1079.087
540055.000,0.017,2615.182
491942.000,0.722,1891.813
190569.000,0.060,2282.006
999283.000,0.014,1614.693
149403.000,0.036,2034.274
709555.000,0.298,2121.467
384701.000,0.197,2614.340
1033757.000,0.000,1199.659
1009944.000,0.023,2306.279
166695.000,0.222,2496.296
186229.000,0.124,1751.529
626349.000,0.000,1693.868
776536.000,0.004,1551.270
359223.000,0.511,1204.131
688081.000,0.343,1598.814
514222.000,0.070,2011.035
293048.000,0.311,1836.966
733457.000,0.048,1644.423
921852.000,0.209,1453.309
372504.000,0.126,2407.806
647985.000,0.084,1532.331
513095.000,0.004,1670.037
556553.000,0.216,1771.539
994471.000,0.011,1330.248
678267.000,0.780,1326.222
349421.000,0.000,1297.517
656359.000,0.347,2613.257
445782.000,0.027,1908.704
488898.000,0.041,2261.403
655637.000,0.626,2238.993
54979.000,0.593,1795.614
324265.000,0.651,1896.905
50594.000,0.080,2262.000
583020.000,0.254,2227.743
591561.000,0.318,1452.975
139590.000,0.000,2403.249
256915.000,0.032,2282.396
3567.000,0.058,1304.568
512281.000,0.000,2244.551
896432.000,0.007,1346.827
5471.000,0.028,2359.369
752655.000,0.226,2040.020
274112.000,0.601,2322.244
172211.000,0.313,1026.598
117401.000,0.324,1614.032
789246.000,0.169,1270.059
182812.000,0.000,1144.545
406048.000,0.062,2615.704
173256.000,0.001,2100.095
266128.000,0.440,1393.411
479221.000,0.065,1295.734
271101.000,0.108,1042.018
336597.000,0.062,1941.654
707630.000,0.025,1919.748
1012109.000,0.007,1745.475
1025522.000,0.117,1644.320
677426.000,0.091,1794.238
520989.000,0.747,1066.302
500709.000,0.000,1696.585
710471.000,0.003,1895.851
429539.000,0.109,2279.758
834097.000,0.093,2046.937
879316.000,0.074,1226.282
196120.000,0.005,1196.822
61317.000,0.000,1551.058
761244.000,0.382,2461.332
297865.000,0.434,1243.395
979091.000,0.029,2439.835
649173.000,0.443,1592.545
1011266.000,0.020,2349.877
429003.000,0.034,2614.271
940938.000,0.005,2178.997
865653.000,0.565,1103.685
852346.000,0.193,1910.244
463952.000,0.392,1681.877
137265.000,0.000,1549.317
368376.000,0.120,1536.904
16724.000,0.134,2360.986
588705.000,0.095,2293.359
314329.000,0.696,1467.194
418580.000,0.825,1530.987
825662.000,0.018,2390.098
109593.000,0.236,1844.629
55852.000,0.007,2613.839
581064.000,0.000,2615.811
62276.000,0.002,2613.456
952893.000,0.790,1185.755
460533.000,0.071,1434.989
489578.000,0.128,1931.026
832841.000,0.117,2607.525
946179.000,0.023,1082.784
66684.000,0.002,2099.393
518904.000,0.484,2247.022
84961.000,0.001,1228.843
258610.000,0.703,1708.514
916525.000,0.073,1912.213
47604.000,0.063,2195.559
549790.000,0.006,2614.984
616978.000,0.185,1216.241
483032.000,0.499,1901.036
471088.000,0.108,2096.211
796376.000,0.395,2130.672
706803.000,0.566,1218.825
256737.000,0.051,2370.126
623485.000,0.079,1310.030
850762.000,0.046,1926.365
423257.000,0.004,1687.481
191978.000,0.019,2614.224
984775.000,0.008,1268.081
105664.000,0.802,1557.716
741336.000,0.000,2112.254
549267.000,0.012,1214.714
972614.000,0.037,1093.139
336403.000,0.002,1639.961
233027.000,0.013,2043.659
407527.000,0.182,2375.293
657292.000,0.043,1510.640
977095.000,0.037,2613.801
651353.000,0.456,1076.594
395290.000,0.458,1659.765
805003.000,0.010,2443.408
620282.000,0.445,1638.001
681173.000,0.630,1585.967
621543.000,0.416,1254.615
101186.000,0.190,1992.936
322011.000,0.070,2616.095
819930.000,0.865,1331.149
677439.000,0.126,1524.582
285391.000,0.000,2615.035
327668.000,0.502,1844.154
443212.000,0.084,2197.776
496764.000,0.040,2562.951
828393.000,0.030,1856.577
368475.000,0.111,2614.330
741605.000,0.088,2212.245
160943.000,0.067,1919.240
386723.000,0.042,2493.682
666681.000,0.040,2395.208
888320.000,0.086,1926.915
699239.000,0.033,2566.261
765605.000,0.081,1391.063
50671.000,0.783,1544.239
86336.000,0.000,1619.834
231354.000,0.000,2117.169
189964.000,0.846,2308.270
976170.000,0.714,2322.365
48359.000,0.257,1962.420
635228.000,0.778,1147.920
725113.000,0.012,2101.766
852164.000,0.025,1461.155
48076.000,0.593,1226.756
394242.000,0.384,1185.319
25791.000,0.114,2128.811
662111.000,0.055,1349.985
701803.000,0.022,1097.540
972879.000,0.568,1919.192
592626.000,0.000,2399.551
782283.000,0.006,2403.531
643419.000,0.033,2613.755
655303.000,0.013,2612.132
500810.000,0.291,1814.991
51937.000,0.106,1591.949
105556.000,0.052,2614.850
85473.000,0.188,1152.512
112600.000,0.232,1648.883
546029.000,0.006,2354.988
450812.000,0.619,1592.558
472174.000,0.036,2050.219
583459.000,0.407,1570.350
86292.000,0.177,1043.601
165877.000,0.039,1325.636
192479.000,0.022,2226.142
773503.000,0.811,1240.229
524064.000,0.024,2613.891
456836.000,0.790,2094.970
215213.000,0.595,1157.117
923163.000,0.364,1360.905
