id,cnn_score,energy
2522564.000,0.185,1455.758
2426567.000,0.224,1987.832
2612106.000,0.195,1897.617
2409389.000,0.091,2614.700
2445840.000,0.173,2084.484
2522225.000,0.004,2185.347
2776674.000,0.022,2610.182
2772732.000,0.000,1621.196
2681835.000,0.000,1545.051
2506871.000,0.096,1650.275
2716307.000,0.011,2614.933
2502868.000,0.885,1657.219
2683835.000,0.549,2341.706
2608767.000,0.034,2360.418
2514092.000,0.438,2093.543
2401318.000,0.092,1669.568
2485200.000,0.000,2184.424
2557940.000,0.040,2337.716
2588111.000,0.422,1650.052
2399706.000,0.371,2215.562
2427617.000,0.117,2383.206
2621100.000,0.248,2009.126
2692867.000,0.002,1015.657
2512315.000,0.025,2615.107
2774699.000,0.140,2010.592
2728371.000,0.047,2009.290
2622747.000,0.801,1662.239
2724460.000,0.010,2399.015
2566133.000,0.006,2612.964
2698005.000,0.689,1366.977
2736914.000,0.039,1697.866
2438493.000,0.809,1592.540
2616941.000,0.065,1268.314
2640879.000,0.101,1278.925
2477210.000,0.018,2613.908
2444752.000,0.257,2014.308
2657371.000,0.049,2616.426
2555740.000,0.276,1684.484
2748921.000,0.711,1626.889
2439614.000,0.105,2611.263
2452637.000,0.051,2102.887
2516816.000,0.367,2614.719
2648202.000,0.214,1234.742
2729705.000,0.024,2615.456
2583564.000,0.089,2103.815
2774867.000,0.000,1673.391
2741253.000,0.685,2017.738
2461600.000,0.061,2418.841
2508377.000,0.421,2236.482
2641705.000,0.005,1053.091
2739656.000,0.462,2270.916
2573933.000,0.082,1795.097
2460282.000,0.051,2614.544
2453422.000,0.000,2613.074
2415142.000,0.278,1668.997
2511525.000,0.014,2612.859
2694512.000,0.104,1912.661
2556007.000,0.529,2350.708
2581738.000,0.021,1970.577
2757456.000,0.440,2614.003
2656593.000,0.000,2615.615
2690938.000,0.568,1225.729
2516933.000,0.404,2614.900
2757040.000,0.581,2087.098
2687776.000,0.756,1549.548
2662595.000,0.666,1258.347
2478227.000,0.048,2614.011
2504407.000,0.016,2353.638
2718803.000,0.142,2097.580
2617423.000,0.017,1652.386
2574640.000,0.256,1816.198
2560709.000,0.010,2615.398
2591653.000,0.472,1535.215
2643588.000,0.035,1097.869
2622240.000,0.166,2571.341
2671523.000,0.015,1509.731
2578181.000,0.548,2351.866
2657652.000,0.530,1698.539
2485235.000,0.537,1921.755
2581662.000,0.745,2159.055
2534075.000,0.000,1281.403
2687808.000,0.334,1867.135
2547250.000,0.200,2214.627
2487497.000,0.047,1825.163
2503108.000,0.240,1853.624
2638480.000,0.562,1412.937
2605722.000,0.506,2220.113
2527231.000,0.565,1063.462
2611027.000,0.632,1329.535
2697818.000,0.791,1319.402
2702217.000,0.002,2611.589
2686752.000,0.082,2078.594
2411557.000,0.010,1698.484
2410276.000,0.124,1367.755
2659371.000,0.598,1988.568
2532047.000,0.085,2103.625
2416592.000,0.480,1091.149
2522184.000,0.459,1678.342
2433324.000,0.339,1953.334
2522042.000,0.600,2278.345
2640825.000,0.064,2614.072
2434463.000,0.045,2349.152
2576274.000,0.027,1983.837
2525331.000,0.067,1202.094
2457464.000,0.064,2166.781
2476672.000,0.594,2375.000
2411205.000,0.000,1012.030
2435529.000,0.253,2382.181
2706948.000,0.033,2090.278
2395867.000,0.344,2255.780
2526711.000,0.000,1157.578
2513049.000,0.063,2323.757
2782705.000,0.095,1037.545
2431671.000,0.000,2278.202
2604813.000,0.651,2113.035
2593600.000,0.193,2209.896
2609599.000,0.032,2550.255
2594782.000,0.000,2294.411
2551053.000,0.003,1676.713
2587424.000,0.000,2316.709
2575297.000,0.041,1736.049
2477808.000,0.042,2615.164
2447894.000,0.590,2613.742
2511586.000,0.104,2525.982
2428119.000,0.066,2413.404
2777426.000,0.024,2174.240
2457717.000,0.005,2614.047
2462641.000,0.027,2291.372
2464873.000,0.226,1621.459
2718599.000,0.544,1496.229
2659786.000,0.014,1620.062
2689486.000,0.130,2442.825
2495707.000,0.678,2170.414
2763636.000,0.003,2213.729
2420085.000,0.171,1550.250
2624768.000,0.109,1949.267
2730159.000,0.008,1945.627
2534312.000,0.044,2613.718
2772666.000,0.052,2352.952
2614015.000,0.045,2613.609
2666663.000,0.065,2614.663
2696380.000,0.131,2167.097
2695489.000,0.001,2613.250
2421937.000,0.280,2297.831
2774245.000,0.048,2214.809
2738090.000,0.002,2016.939
2652400.000,0.003,2613.002
2715420.000,0.199,2243.342
2665946.000,0.297,1823.144
2762989.000,0.140,2372.445
2647446.000,0.066,1752.288
2462202.000,0.024,2184.633
2593701.000,0.465,2458.697
2550706.000,0.346,1487.564
2641179.000,0.084,2238.552
2424416.000,0.056,2348.860
2489354.000,0.008,1732.513
2752265.000,0.000,1421.101
2754499.000,0.001,2205.727
2772793.000,0.024,2617.121
2780197.000,0.002,2606.843
2629763.000,0.395,2391.728
2616164.000,0.711,2430.313
2600851.000,0.041,1965.925
2619218.000,0.028,2613.971
2409894.000,0.277,1472.337
2656794.000,0.001,1092.800
2602008.000,0.670,1877.388
2628575.000,0.374,1026.905
2759720.000,0.027,2612.595
2754216.000,0.015,1812.243
2519039.000,0.043,1010.344
2662963.000,0.063,2443.722
2678414.000,0.390,2615.003
2643830.000,0.080,2330.494
2578779.000,0.456,1084.228
2688472.000,0.078,1506.413
2436495.000,0.108,1734.495
2425393.000,0.036,2363.192
2668620.000,0.010,1438.154
2437780.000,0.797,1496.971
2666126.000,0.698,1609.831
2634081.000,0.000,1619.115
2609065.000,0.628,2161.165
2542084.000,0.043,2613.820
2614666.000,0.054,2612.998
2714384.000,0.078,2050.797
2488218.000,0.908,1365.788
2472143.000,0.221,1942.411
2397692.000,0.006,2288.981
2774616.000,0.481,1625.556
2602322.000,0.520,1812.506
2737132.000,0.019,2614.802
2589857.000,0.056,1612.595
2591930.000,0.451,2305.450
2713478.000,0.018,2164.231
2728779.000,0.025,2470.053
2745461.000,0.033,1254.832
2429850.000,0.844,1445.049
2634817.000,0.024,1856.202
2631729.000,0.000,2139.045
2500437.000,0.050,2615.889
2487592.000,0.023,1099.407
2587750.000,0.042,2612.792
2511487.000,0.152,1520.638
2605434.000,0.036,1159.733
2610942.000,0.003,1458.491
2510682.000,0.295,1221.919
2762502.000,0.662,1154.095
2524813.000,0.016,1911.729
2555998.000,0.396,1075.580
2465308.000,0.458,2253.309
2726526.000,0.091,1097.915
2475086.000,0.650,2137.939
2690814.000,0.003,2104.268
2496562.000,0.616,1752.119
2717008.000,0.218,1794.263
2736135.000,0.336,1426.215
2752025.000,0.059,2062.040
2571318.000,0.003,2394.315
2473950.000,0.765,2613.328
2686512.000,0.446,1149.466
2564817.000,0.746,2026.316
2766405.000,0.023,2305.295
2508399.000,0.017,2613.739
2514597.000,0.681,1098.074
2776864.000,0.016,1719.075
2746314.000,0.108,1368.111
2748599.000,0.347,1545.428
2770129.000,0.876,1889.404
2439779.000,0.001,1474.652
2582236.000,0.072,2610.966
2768377.000,0.000,2149.039
2459431.000,0.006,2613.098
2624363.000,0.091,1215.025
2468308.000,0.021,1356.544
2515190.000,0.007,2616.515
2637667.000,0.027,2614.216
